City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,ushuaia,-54.8,-68.3,273.96,80,100,4.12,AR,2023-09-02 19:21:07
69,nizhneudinsk,54.9076,99.0276,282.47,92,86,1.12,RU,2023-09-02 19:24:32
70,papatowai,-46.5619,169.4708,282.36,86,84,1.38,NZ,2023-09-02 19:24:34
71,blackmans bay,-43.0167,147.3167,281.89,90,0,2.19,AU,2023-09-02 19:24:34
72,stanley,54.868,-1.6985,287.63,90,0,2.06,GB,2023-09-02 19:24:35
73,ulsteinvik,62.3432,5.8487,288.57,79,100,0.89,NO,2023-09-02 19:24:35
74,date,42.4681,140.8681,295.45,73,7,1.21,JP,2023-09-02 19:24:35
75,abepura,-2.6333,140.5833,300.6,78,20,2.06,ID,2023-09-02 19:24:35
76,jalai nur,49.45,117.7,283.65,85,99,6.28,CN,2023-09-02 19:24:36
77,ciudad insurgentes,25.2625,-111.7753,306.23,45,3,6.47,MX,2023-09-02 19:24:36
78,friedeburg,53.45,7.8333,286.43,99,97,1.03,DE,2023-09-02 19:24:36
79,hermanus,-34.4187,19.2345,280.82,79,100,2.7,ZA,2023-09-02 19:24:37
80,tamanrasset,22.785,5.5228,300.1,29,40,1.54,DZ,2023-09-02 19:24:37
81,shakhtersk,48.0625,38.5167,291.63,74,24,4.31,UA,2023-09-02 19:24:37
82,port macquarie,-31.4333,152.9167,291.42,60,6,1.95,AU,2023-09-02 19:23:46
83,wynyard,-41.0,145.7167,279.81,82,100,4.48,AU,2023-09-02 19:24:37
84,hastings,50.8552,0.5729,290.88,46,44,4.56,GB,2023-09-02 19:24:37
85,trairi,-3.2778,-39.2689,298.95,81,5,5.02,BR,2023-09-02 19:24:38
86,marte,12.3611,13.8246,301.13,59,10,2.9,NG,2023-09-02 19:24:38
87,lorengau,-2.0226,147.2712,301.91,69,62,5.38,PG,2023-09-02 19:24:38
88,peace river,56.2501,-117.286,294.32,37,75,4.12,CA,2023-09-02 19:24:39
89,st. john's,47.5649,-52.7093,289.7,79,20,4.63,CA,2023-09-02 19:24:39
90,bredasdorp,-34.5322,20.0403,281.9,89,100,1.86,ZA,2023-09-02 19:24:39
91,enoch,37.7733,-113.0244,296.29,63,40,7.2,US,2023-09-02 19:24:39
92,rebola,3.7167,8.8333,296.03,89,73,2.71,GQ,2023-09-02 19:24:39
93,windhoek,-22.5594,17.0832,288.38,19,1,2.57,NA,2023-09-02 19:24:39
94,barra dos coqueiros,-10.9089,-37.0386,299.16,69,40,4.63,BR,2023-09-02 19:22:16
95,constantia,44.1833,28.65,293.54,63,0,3.33,RO,2023-09-02 19:20:07
96,vila velha,-20.3297,-40.2925,296.12,91,75,1.54,BR,2023-09-02 19:24:40
97,acarau,-2.8856,-40.12,299.14,82,3,7.88,BR,2023-09-02 19:24:40
98,mareeba,-17.0,145.4333,296.75,69,83,3.33,AU,2023-09-02 19:24:40
99,saint-pierre,-21.3393,55.4781,292.97,77,0,1.54,RE,2023-09-02 19:24:41
100,kruisfontein,-34.0033,24.7314,283.33,69,99,1.39,ZA,2023-09-02 19:24:41
101,hasaki,35.7333,140.8333,302.37,77,100,4.95,JP,2023-09-02 19:24:41
102,menongue,-14.6585,17.691,288.83,19,0,0.92,AO,2023-09-02 19:24:41
103,bardai,11.65,7.2333,294.35,87,32,2.8,NG,2023-09-02 19:24:41
104,iskushuban,10.2837,50.23,300.52,56,35,1.02,SO,2023-09-02 19:24:42
105,kodiak,57.79,-152.4072,286.88,67,40,2.57,US,2023-09-02 19:24:42
106,miracema do tocantins,-9.5618,-48.3967,303.81,39,56,1.64,BR,2023-09-02 19:24:42
107,la'ie,21.6477,-157.9253,305.13,65,7,4.92,US,2023-09-02 19:24:42
108,holualoa,19.6228,-155.9522,301.23,75,20,6.17,US,2023-09-02 19:24:42
109,happy valley-goose bay,53.3168,-60.3315,290.32,82,100,3.09,CA,2023-09-02 19:21:00
110,magadan,59.5667,150.8,279.56,81,100,5.49,RU,2023-09-02 19:24:44
111,katsuura,35.1333,140.3,300.14,77,72,6.0,JP,2023-09-02 19:24:44
112,suar,29.0333,79.05,298.41,73,0,1.77,IN,2023-09-02 19:24:45
113,aldama,22.9167,-98.0667,304.47,55,35,5.59,MX,2023-09-02 19:24:46
114,ust'-ordynskiy,52.805,104.7508,281.07,78,95,1.09,RU,2023-09-02 19:24:46
115,richards bay,-28.783,32.0377,292.6,88,94,4.14,ZA,2023-09-02 19:24:46
116,praia da vitoria,38.7333,-27.0667,295.29,88,20,2.85,PT,2023-09-02 19:24:46
117,arys,42.4252,68.795,293.77,28,59,2.68,KZ,2023-09-02 19:24:47
118,zhanga buqtyrma,49.6295,83.5248,284.5,75,36,0.91,KZ,2023-09-02 19:24:47
119,broken hill,-31.95,141.4333,288.91,35,0,4.86,AU,2023-09-02 19:24:47
120,utrik,11.2278,169.8474,301.33,72,66,0.79,MH,2023-09-02 19:24:47
121,dudinka,69.4058,86.1778,279.05,93,100,7.09,RU,2023-09-02 19:24:47
122,ixtapa,20.7,-105.2,304.94,70,75,2.24,MX,2023-09-02 19:24:48
123,tafresh,34.692,50.013,295.64,26,6,3.37,IR,2023-09-02 19:24:48
124,nazilli,37.9163,28.3223,294.76,80,46,1.84,TR,2023-09-02 19:24:48
125,zhangye,38.9342,100.4517,292.33,30,32,3.27,CN,2023-09-02 19:24:48
126,thulamahashi,-24.7246,31.1994,293.78,39,0,2.06,ZA,2023-09-02 19:24:49
127,ondjiva,-17.0667,15.7333,293.49,21,12,3.28,AO,2023-09-02 19:24:49
128,chita,52.0333,113.55,280.09,93,75,5.0,RU,2023-09-02 19:24:49
129,la passe,45.5549,-0.8967,295.28,88,81,4.06,FR,2023-09-02 19:24:49
130,al bawiti,28.3492,28.8659,298.1,53,0,4.93,EG,2023-09-02 19:24:49
131,chonchi,-42.6128,-73.8092,278.77,94,65,1.54,CL,2023-09-02 19:24:50
132,cururupu,-1.8283,-44.8683,296.25,88,69,1.89,BR,2023-09-02 19:24:50
133,pyay,18.8167,95.2167,297.83,97,100,1.02,MM,2023-09-02 19:24:50
134,condega,13.365,-86.3985,299.68,78,69,2.45,NI,2023-09-02 19:24:50
135,ubari,26.5921,12.7805,305.89,18,5,6.18,LY,2023-09-02 19:24:50
136,port saint john's,-31.6229,29.5448,290.68,77,100,2.02,ZA,2023-09-02 19:24:51
137,sao jose da coroa grande,-8.8978,-35.1478,297.34,83,35,4.73,BR,2023-09-02 19:24:51
138,alice springs,-23.7,133.8833,294.9,21,0,10.8,AU,2023-09-02 19:24:51
139,nadvoitsy,63.8667,34.3167,287.78,96,55,1.95,RU,2023-09-02 19:24:51
140,hadibu,12.65,54.0333,299.24,83,60,5.62,YE,2023-09-02 19:24:52
141,lebu,-37.6167,-73.65,282.07,74,100,7.02,CL,2023-09-02 19:24:52
142,hobyo,5.3505,48.5268,297.72,84,94,11.56,SO,2023-09-02 19:24:52
143,mehnagar,25.8833,83.1167,301.36,64,24,2.19,IN,2023-09-02 19:24:52
144,lavrio,37.7145,24.0565,300.83,52,0,6.08,GR,2023-09-02 19:24:52
145,natal,-5.795,-35.2094,298.51,83,20,3.09,BR,2023-09-02 19:24:53
146,nyagan,62.1406,65.3936,285.6,86,99,2.28,RU,2023-09-02 19:24:53
147,siocon,7.7061,122.1353,300.0,81,76,1.94,PH,2023-09-02 19:24:53
148,igrim,63.1906,64.4162,283.72,65,97,1.34,RU,2023-09-02 19:24:54
149,essaouira,31.5125,-9.77,293.87,88,87,1.03,MA,2023-09-02 19:24:54
150,swakopmund,-22.6833,14.5333,283.14,81,0,1.34,NA,2023-09-02 19:24:54
151,naliya,23.2667,68.8333,299.47,75,0,3.94,IN,2023-09-02 19:24:54
152,tiksi,71.6872,128.8694,276.66,74,100,4.75,RU,2023-09-02 19:24:54
153,kourou,5.1552,-52.6478,300.18,74,52,5.61,GF,2023-09-02 19:24:55
154,calingasta,-31.3308,-69.4078,286.86,33,100,0.88,AR,2023-09-02 19:24:55
155,naze,28.3667,129.4833,300.66,80,66,5.13,JP,2023-09-02 19:21:38
156,pimentel,-6.8367,-79.9342,296.31,73,0,8.75,PE,2023-09-02 19:24:55
157,carolina beach,34.0352,-77.8936,299.18,72,57,2.29,US,2023-09-02 19:24:55
158,villa gesell,-37.2639,-56.973,282.62,66,100,5.38,AR,2023-09-02 19:24:56
159,saint-leu,-21.15,55.2833,293.61,91,8,0.93,RE,2023-09-02 19:24:56
160,lompoc,34.6391,-120.4579,295.76,81,100,4.92,US,2023-09-02 19:24:56
161,wenchang,30.904,118.4887,295.13,96,100,2.65,CN,2023-09-02 19:24:56
162,tazacorte,28.629,-17.9293,295.69,68,0,2.06,ES,2023-09-02 19:24:56
163,kapa'a,22.0752,-159.319,304.33,72,75,7.2,US,2023-09-02 19:24:56
164,waingapu,-9.6567,120.2641,296.41,76,15,4.02,ID,2023-09-02 19:24:57
165,stung treng,13.5259,105.9683,296.7,99,97,1.24,KH,2023-09-02 19:24:57
166,minas de marcona,-15.2119,-75.1103,288.38,71,15,4.55,PE,2023-09-02 19:24:57
167,udachny,66.4167,112.4,277.29,86,100,2.94,RU,2023-09-02 19:24:53
168,mogadishu,2.0371,45.3438,297.95,88,24,7.41,SO,2023-09-02 19:24:58
169,ust-nera,64.5667,143.2,276.0,66,21,1.14,RU,2023-09-02 19:24:58
170,ad dawadimi,24.5077,44.3924,301.79,19,0,4.3,SA,2023-09-02 19:24:58
171,imperial beach,32.5839,-117.1131,302.86,76,100,4.63,US,2023-09-02 19:24:58
172,smithers,54.7804,-127.1743,295.33,23,20,1.03,CA,2023-09-02 19:24:58
173,laguna,38.421,-121.4238,297.62,52,100,1.54,US,2023-09-02 19:24:59
174,jamestown,42.097,-79.2353,296.18,73,0,3.09,US,2023-09-02 19:24:19
175,bojia,26.4672,111.9681,296.14,85,100,1.05,CN,2023-09-02 19:25:00
176,gorom-gorom,14.4439,-0.2361,298.61,75,100,6.07,BF,2023-09-02 19:25:00
177,olonkinbyen,70.9221,-8.7187,280.24,98,100,9.92,SJ,2023-09-02 19:24:53
178,sitka,57.0531,-135.33,287.09,72,75,4.12,US,2023-09-02 19:25:02
179,betheny,49.285,4.055,292.15,88,0,1.03,FR,2023-09-02 19:25:02
180,klyuchi,52.2667,79.1667,287.31,60,95,3.19,RU,2023-09-02 19:24:51
181,sandnessjoen,66.0217,12.6316,284.44,85,99,5.63,NO,2023-09-02 19:25:02
182,kanniyakumari,8.0833,77.5667,299.12,85,93,6.25,IN,2023-09-02 19:25:03
183,jiangkou,25.4872,119.1986,300.25,81,100,8.14,CN,2023-09-02 19:25:03
184,namibe,-15.1961,12.1522,289.55,92,74,3.23,AO,2023-09-02 19:25:03
185,guarapari,-20.6667,-40.4975,294.76,82,55,5.14,BR,2023-09-02 19:25:04
186,fort st. john,56.2499,-120.8529,295.09,21,20,8.75,CA,2023-09-02 19:21:35
187,camocim,-2.9022,-40.8411,299.29,79,4,6.62,BR,2023-09-02 19:25:04
188,olyokminsk,60.3736,120.4264,279.41,63,89,1.65,RU,2023-09-02 19:25:04
189,krasnyy chikoy,50.3643,108.7512,285.94,94,90,1.37,RU,2023-09-02 19:25:04
190,tolanaro,-25.0319,46.9987,295.19,73,20,8.23,MG,2023-09-02 19:25:05
191,college,64.8569,-147.8028,284.93,66,75,7.72,US,2023-09-02 19:25:05
192,san juan,-31.5375,-68.5364,287.91,27,86,6.42,AR,2023-09-02 19:25:05
193,nemuro,43.3236,145.575,290.73,95,70,2.55,JP,2023-09-02 19:25:05
194,amasra,41.7463,32.3863,294.98,91,17,3.95,TR,2023-09-02 19:25:05
195,thunder bay,48.4001,-89.3168,303.14,51,0,4.63,CA,2023-09-02 19:20:35
196,walvis bay,-22.9575,14.5053,283.2,87,0,1.03,NA,2023-09-02 19:25:06
197,elena,42.9333,25.8833,289.81,67,15,0.8,BG,2023-09-02 19:25:06
198,port alfred,-33.5906,26.891,288.18,63,100,1.36,ZA,2023-09-02 19:25:06
199,taoudenni,22.6783,-3.9836,309.92,13,3,2.72,ML,2023-09-02 19:25:06
200,port lincoln,-34.7333,135.8667,289.74,50,0,8.0,AU,2023-09-02 19:25:07
201,sechura,-5.5569,-80.8222,296.75,64,7,7.52,PE,2023-09-02 19:25:07
202,kill devil hills,36.0307,-75.676,296.47,71,0,0.0,US,2023-09-02 19:25:07
203,sathupalli,17.2497,80.869,298.85,88,100,0.67,IN,2023-09-02 19:25:07
204,boa vista,2.8197,-60.6733,303.14,54,40,2.57,BR,2023-09-02 19:25:07
